,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_workers,device
0,1,1,2.8643269538879395,0.12,4.09621000289917,5.537802457809448,0.001,128,0,cuda
1,1,2,2.299614877700806,0.1025,2.566316604614258,8.11724328994751,0.001,128,0,cuda
2,1,3,2.244505023956299,0.12,2.5063586235046387,10.630167007446289,0.001,128,0,cuda
3,1,4,2.1195935344696046,0.215,2.518125295639038,13.154264211654663,0.001,128,0,cuda
4,1,5,2.1245641136169433,0.1925,2.588634967803955,15.749167919158936,0.001,128,0,cuda
5,1,6,2.029407949447632,0.19625,2.527458429336548,18.283568143844604,0.001,128,0,cuda
6,1,7,2.015131025314331,0.21,2.7292206287384033,21.019318103790283,0.001,128,0,cuda
7,1,8,1.9437505674362183,0.265,2.773906946182251,23.800201654434204,0.001,128,0,cuda
8,1,9,1.8344010734558105,0.28375,3.239076852798462,27.046254873275757,0.001,128,0,cuda
9,1,10,1.8335960006713867,0.30375,4.289414644241333,31.34872078895569,0.001,128,0,cuda
10,1,11,1.7208615827560425,0.325,4.439489364624023,35.78821015357971,0.001,128,0,cuda
11,1,12,1.7326822566986084,0.35,4.274969100952148,40.08078980445862,0.001,128,0,cuda
12,1,13,1.6843911218643188,0.3675,4.3301026821136475,44.4228413105011,0.001,128,0,cuda
13,1,14,1.625659885406494,0.35875,4.581027984619141,49.01674795150757,0.001,128,0,cuda
14,1,15,1.640101284980774,0.355,4.668433427810669,53.69777798652649,0.001,128,0,cuda
15,1,16,1.6315787315368653,0.36125,3.985909938812256,57.6995415687561,0.001,128,0,cuda
16,1,17,1.513075246810913,0.405,3.9360344409942627,61.64854073524475,0.001,128,0,cuda
17,1,18,1.5814649915695191,0.3575,4.7076640129089355,66.37048935890198,0.001,128,0,cuda
18,1,19,1.5067554473876954,0.4125,4.443154335021973,70.82755017280579,0.001,128,0,cuda
19,1,20,1.4497483968734741,0.39625,4.319923639297485,75.16925740242004,0.001,128,0,cuda
20,1,21,1.4469346189498902,0.42,4.641607761383057,79.82581615447998,0.001,128,0,cuda
21,1,22,1.3576904439926147,0.46375,4.633347749710083,84.47543740272522,0.001,128,0,cuda
22,1,23,1.3421669960021974,0.46875,4.862937688827515,89.36349201202393,0.001,128,0,cuda
